,Cement,Blast Furnace Slag,Fly Ash,Water,Superplasticizer,Coarse Aggregate,Fine Aggregate,Age,Strength,Ingredient Total
93,374.0,189.2,0.0,170.1,10.1,926.1,756.7,7,46.2,2426.2
94,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,7,42.8,2418.3
95,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,2440.5
96,425.0,106.3,0.0,151.4,18.6,936.0,803.7,7,46.8,2441.0
97,375.0,93.8,0.0,126.6,23.4,852.1,992.6,7,45.7,2463.5
98,475.0,118.8,0.0,181.1,8.9,852.1,781.5,7,55.6,2417.4
99,469.0,117.2,0.0,137.8,32.2,852.1,840.5,7,54.9,2448.8
100,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,2440.5
101,388.6,97.1,0.0,157.9,12.1,852.1,925.7,7,34.9,2433.5
102,531.3,0.0,0.0,141.8,28.2,852.1,893.7,7,46.9,2447.1000000000004
103,425.0,106.3,0.0,153.5,16.5,852.1,887.1,7,49.2,2440.5
104,318.8,212.5,0.0,155.7,14.3,852.1,880.4,7,33.4,2433.8
105,401.8,94.7,0.0,147.4,11.4,946.8,852.1,7,54.1,2454.2
106,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,2428.6000000000004
107,323.7,282.8,0.0,183.8,10.3,942.7,659.9,7,49.8,2403.2
108,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,7,47.1,2439.8
109,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,2428.6000000000004
110,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,7,38.0,2451.4000000000005
111,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,55.9,2428.6000000000004
112,439.0,177.0,0.0,186.0,11.1,884.9,707.9,7,56.1,2405.9
113,389.9,189.0,0.0,145.9,22.0,944.7,755.8,7,59.09,2447.3
114,362.6,189.0,0.0,164.9,11.6,944.7,755.8,7,22.9,2428.6000000000004
115,337.9,189.0,0.0,174.9,9.5,944.7,755.8,7,35.1,2411.8
116,374.0,189.2,0.0,170.1,10.1,926.1,756.7,28,61.09,2426.2
117,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,28,59.8,2418.3
118,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,2440.5
119,425.0,106.3,0.0,151.4,18.6,936.0,803.7,28,61.8,2441.0
120,375.0,93.8,0.0,126.6,23.4,852.1,992.6,28,56.7,2463.5
121,475.0,118.8,0.0,181.1,8.9,852.1,781.5,28,68.3,2417.4
122,469.0,117.2,0.0,137.8,32.2,852.1,840.5,28,66.9,2448.8
123,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,2440.5
124,388.6,97.1,0.0,157.9,12.1,852.1,925.7,28,50.7,2433.5
125,531.3,0.0,0.0,141.8,28.2,852.1,893.7,28,56.4,2447.1000000000004
126,425.0,106.3,0.0,153.5,16.5,852.1,887.1,28,60.29,2440.5
127,318.8,212.5,0.0,155.7,14.3,852.1,880.4,28,55.5,2433.8
128,401.8,94.7,0.0,147.4,11.4,946.8,852.1,28,68.5,2454.2
129,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,2428.6000000000004
130,323.7,282.8,0.0,183.8,10.3,942.7,659.9,28,74.7,2403.2
131,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,28,52.2,2439.8
132,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,2428.6000000000004
133,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,28,67.7,2451.4000000000005
134,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,2428.6000000000004
135,439.0,177.0,0.0,186.0,11.1,884.9,707.9,28,66.0,2405.9
136,389.9,189.0,0.0,145.9,22.0,944.7,755.8,28,74.5,2447.3
137,362.6,189.0,0.0,164.9,11.6,944.7,755.8,28,71.3,2428.6000000000004
138,337.9,189.0,0.0,174.9,9.5,944.7,755.8,28,49.9,2411.8
139,374.0,189.2,0.0,170.1,10.1,926.1,756.7,56,63.4,2426.2
140,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,56,64.9,2418.3
141,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,2440.5
142,425.0,106.3,0.0,151.4,18.6,936.0,803.7,56,64.9,2441.0
143,375.0,93.8,0.0,126.6,23.4,852.1,992.6,56,60.2,2463.5
144,475.0,118.8,0.0,181.1,8.9,852.1,781.5,56,72.3,2417.4
145,469.0,117.2,0.0,137.8,32.2,852.1,840.5,56,69.3,2448.8
146,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,2440.5
147,388.6,97.1,0.0,157.9,12.1,852.1,925.7,56,55.2,2433.5
148,531.3,0.0,0.0,141.8,28.2,852.1,893.7,56,58.8,2447.1000000000004
149,425.0,106.3,0.0,153.5,16.5,852.1,887.1,56,64.3,2440.5
150,318.8,212.5,0.0,155.7,14.3,852.1,880.4,56,66.1,2433.8
151,401.8,94.7,0.0,147.4,11.4,946.8,852.1,56,73.7,2454.2
152,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,2428.6000000000004
153,323.7,282.8,0.0,183.8,10.3,942.7,659.9,56,80.2,2403.2
154,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,56,54.9,2439.8
155,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,2428.6000000000004
156,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,56,72.99,2451.4000000000005
157,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,2428.6000000000004
158,439.0,177.0,0.0,186.0,11.1,884.9,707.9,56,71.7,2405.9
159,389.9,189.0,0.0,145.9,22.0,944.7,755.8,56,79.4,2447.3
160,362.6,189.0,0.0,164.9,11.6,944.7,755.8,56,77.3,2428.6000000000004
161,337.9,189.0,0.0,174.9,9.5,944.7,755.8,56,59.89,2411.8
162,374.0,189.2,0.0,170.1,10.1,926.1,756.7,91,64.9,2426.2
163,313.3,262.2,0.0,175.5,8.6,1046.9,611.8,91,66.6,2418.3
164,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,2440.5
165,425.0,106.3,0.0,151.4,18.6,936.0,803.7,91,66.7,2441.0
166,375.0,93.8,0.0,126.6,23.4,852.1,992.6,91,62.5,2463.5
167,475.0,118.8,0.0,181.1,8.9,852.1,781.5,91,74.19,2417.4
168,469.0,117.2,0.0,137.8,32.2,852.1,840.5,91,70.7,2448.8
169,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,2440.5
170,388.6,97.1,0.0,157.9,12.1,852.1,925.7,91,57.6,2433.5
171,531.3,0.0,0.0,141.8,28.2,852.1,893.7,91,59.2,2447.1000000000004
172,425.0,106.3,0.0,153.5,16.5,852.1,887.1,91,65.2,2440.5
173,318.8,212.5,0.0,155.7,14.3,852.1,880.4,91,68.1,2433.8
174,401.8,94.7,0.0,147.4,11.4,946.8,852.1,91,75.5,2454.2
175,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,2428.6000000000004
176,379.5,151.2,0.0,153.9,15.9,1134.3,605.0,91,56.5,2439.8
177,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,2428.6000000000004
178,286.3,200.9,0.0,144.7,11.2,1004.6,803.7,91,76.8,2451.4000000000005
179,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,2428.6000000000004
180,439.0,177.0,0.0,186.0,11.1,884.9,707.9,91,73.3,2405.9
181,389.9,189.0,0.0,145.9,22.0,944.7,755.8,91,82.6,2447.3
182,362.6,189.0,0.0,164.9,11.6,944.7,755.8,91,79.3,2428.6000000000004
183,337.9,189.0,0.0,174.9,9.5,944.7,755.8,91,67.8,2411.8
184,222.4,0.0,96.7,189.3,4.5,967.1,870.3,3,11.58,2350.3
185,222.4,0.0,96.7,189.3,4.5,967.1,870.3,14,24.45,2350.3
186,222.4,0.0,96.7,189.3,4.5,967.1,870.3,28,24.89,2350.3
187,222.4,0.0,96.7,189.3,4.5,967.1,870.3,56,29.45,2350.3
188,222.4,0.0,96.7,189.3,4.5,967.1,870.3,100,40.71,2350.3
189,233.8,0.0,94.6,197.9,4.6,947.0,852.2,3,10.38,2330.1000000000004
190,233.8,0.0,94.6,197.9,4.6,947.0,852.2,14,22.14,2330.1000000000004
191,233.8,0.0,94.6,197.9,4.6,947.0,852.2,28,22.84,2330.1000000000004
192,233.8,0.0,94.6,197.9,4.6,947.0,852.2,56,27.66,2330.1000000000004
193,233.8,0.0,94.6,197.9,4.6,947.0,852.2,100,34.56,2330.1000000000004
194,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,3,12.45,2380.6
195,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,14,24.99,2380.6
196,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,28,25.72,2380.6
197,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,56,33.96,2380.6
198,194.7,0.0,100.5,165.6,7.5,1006.4,905.9,100,37.34,2380.6
199,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,3,15.04,2380.0
200,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,14,21.06,2380.0
201,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,28,26.4,2380.0
202,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,56,35.34,2380.0
203,190.7,0.0,125.4,162.1,7.8,1090.0,804.0,100,40.57,2380.0
204,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,3,12.47,2356.6
205,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,14,20.92,2356.6
206,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,28,24.9,2356.6
207,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,56,34.2,2356.6
208,212.1,0.0,121.6,180.3,5.7,1057.6,779.3,100,39.61,2356.6
209,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,3,10.03,2336.4
210,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,14,20.08,2336.4
211,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,28,24.48,2336.4
212,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,56,31.54,2336.4
213,230.0,0.0,118.3,195.5,4.6,1029.4,758.6,100,35.34,2336.4
214,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,3,9.45,2378.0
215,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,14,22.72,2378.0
216,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,28,28.47,2378.0
217,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,56,38.56,2378.0
218,190.3,0.0,125.2,161.9,9.9,1088.1,802.6,100,40.39,2378.0
219,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,3,10.76,2349.1
220,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,14,25.48,2349.1
221,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,28,21.54,2349.1
222,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,56,28.63,2349.1
223,166.1,0.0,163.3,176.5,4.5,1058.6,780.1,100,33.54,2349.1
224,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,3,7.75,2340.2
225,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,14,17.82,2340.2
226,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,28,24.24,2340.2
227,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,56,32.85,2340.2
228,168.0,42.1,163.8,121.8,5.7,1058.7,780.1,100,39.23,2340.2
229,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,3,18.0,2376.1
230,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,14,30.39,2376.1
231,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,28,45.71,2376.1
232,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,56,50.77,2376.1
233,213.7,98.1,24.5,181.7,6.9,1065.8,785.4,100,53.9,2376.1
234,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,3,13.18,2376.3
235,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,14,17.84,2376.3
236,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,28,40.23,2376.3
237,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,56,47.13,2376.3
238,213.8,98.1,24.5,181.7,6.7,1066.0,785.5,100,49.97,2376.3
239,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,3,13.36,2334.8999999999996
240,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,14,22.32,2334.8999999999996
241,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,28,24.54,2334.8999999999996
242,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,56,31.35,2334.8999999999996
243,229.7,0.0,118.2,195.2,6.1,1028.1,757.6,100,40.86,2334.8999999999996
244,238.1,0.0,94.1,186.7,7.0,949.9,847.0,3,19.93,2322.8
245,238.1,0.0,94.1,186.7,7.0,949.9,847.0,14,25.69,2322.8
246,238.1,0.0,94.1,186.7,7.0,949.9,847.0,28,30.23,2322.8
247,238.1,0.0,94.1,186.7,7.0,949.9,847.0,56,39.59,2322.8
248,238.1,0.0,94.1,186.7,7.0,949.9,847.0,100,44.3,2322.8
249,250.0,0.0,95.7,187.4,5.5,956.9,861.2,3,13.82,2356.7
250,250.0,0.0,95.7,187.4,5.5,956.9,861.2,14,24.92,2356.7
251,250.0,0.0,95.7,187.4,5.5,956.9,861.2,28,29.22,2356.7
252,250.0,0.0,95.7,187.4,5.5,956.9,861.2,56,38.33,2356.7
253,250.0,0.0,95.7,187.4,5.5,956.9,861.2,100,42.35,2356.7
254,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,3,13.54,2392.2999999999997
255,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,14,26.31,2392.2999999999997
256,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,28,31.64,2392.2999999999997
257,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,56,42.55,2392.2999999999997
258,212.5,0.0,100.4,159.3,8.7,1007.8,903.6,100,42.92,2392.2999999999997
259,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,3,13.33,2390.3999999999996
260,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,14,25.37,2390.3999999999996
261,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,28,37.4,2390.3999999999996
262,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,56,44.4,2390.3999999999996
263,212.6,0.0,100.4,159.4,10.4,1003.8,903.8,100,47.74,2390.3999999999996
264,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,3,19.52,2388.5
265,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,14,31.35,2388.5
266,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,28,38.5,2388.5
267,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,56,45.08,2388.5
268,212.0,0.0,124.8,159.0,7.8,1085.4,799.5,100,47.82,2388.5
269,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,3,15.44,2369.0
270,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,14,26.77,2369.0
271,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,28,33.73,2369.0
272,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,56,42.7,2369.0
273,231.8,0.0,121.6,174.0,6.7,1056.4,778.5,100,45.84,2369.0
274,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,3,17.22,2350.1000000000004
275,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,14,29.93,2350.1000000000004
276,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,28,29.65,2350.1000000000004
277,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,56,36.97,2350.1000000000004
278,251.4,0.0,118.3,188.5,5.8,1028.4,757.7,100,43.58,2350.1000000000004
279,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,3,13.12,2350.7
280,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,14,24.43,2350.7
281,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,28,32.66,2350.7
282,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,56,36.64,2350.7
283,251.4,0.0,118.3,188.5,6.4,1028.4,757.7,100,44.21,2350.7
284,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,3,13.62,2359.0
285,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,14,21.6,2359.0
286,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,28,27.77,2359.0
287,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,56,35.57,2359.0
288,181.4,0.0,167.0,169.6,7.6,1055.6,777.8,100,45.37,2359.0
289,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,3,7.32,2367.7
290,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,14,21.5,2367.7
291,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,28,31.27,2367.7
292,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,56,43.5,2367.7
293,182.0,45.2,122.0,170.2,8.2,1059.4,780.7,100,48.67,2367.7
294,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,3,7.4,2381.5
295,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,14,23.51,2381.5
296,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,28,31.12,2381.5
297,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,56,39.15,2381.5
298,168.9,42.2,124.3,158.3,10.8,1080.8,796.2,100,48.15,2381.5
299,290.4,0.0,96.2,168.1,9.4,961.2,865.0,3,22.5,2390.3
300,290.4,0.0,96.2,168.1,9.4,961.2,865.0,14,34.67,2390.3
301,290.4,0.0,96.2,168.1,9.4,961.2,865.0,28,34.74,2390.3
302,290.4,0.0,96.2,168.1,9.4,961.2,865.0,56,45.08,2390.3
303,290.4,0.0,96.2,168.1,9.4,961.2,865.0,100,48.97,2390.3
304,277.1,0.0,97.4,160.6,11.8,973.9,875.6,3,23.14,2396.4
305,277.1,0.0,97.4,160.6,11.8,973.9,875.6,14,41.89,2396.4
306,277.1,0.0,97.4,160.6,11.8,973.9,875.6,28,48.28,2396.4
307,277.1,0.0,97.4,160.6,11.8,973.9,875.6,56,51.04,2396.4
308,277.1,0.0,97.4,160.6,11.8,973.9,875.6,100,55.64,2396.4
309,295.7,0.0,95.6,171.5,8.9,955.1,859.2,3,22.95,2386.0
310,295.7,0.0,95.6,171.5,8.9,955.1,859.2,14,35.23,2386.0
311,295.7,0.0,95.6,171.5,8.9,955.1,859.2,28,39.94,2386.0
312,295.7,0.0,95.6,171.5,8.9,955.1,859.2,56,48.72,2386.0
313,295.7,0.0,95.6,171.5,8.9,955.1,859.2,100,52.04,2386.0
314,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,3,21.02,2416.0
315,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,14,33.36,2416.0
316,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,28,33.94,2416.0
317,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,56,44.14,2416.0
318,251.8,0.0,99.9,146.1,12.4,1006.0,899.8,100,45.37,2416.0
319,249.1,0.0,98.8,158.1,12.8,987.8,889.0,3,15.36,2395.6
320,249.1,0.0,98.8,158.1,12.8,987.8,889.0,14,28.68,2395.6
321,249.1,0.0,98.8,158.1,12.8,987.8,889.0,28,30.85,2395.6
322,249.1,0.0,98.8,158.1,12.8,987.8,889.0,56,42.03,2395.6
323,249.1,0.0,98.8,158.1,12.8,987.8,889.0,100,51.06,2395.6
324,252.3,0.0,98.8,146.3,14.2,987.8,889.0,3,21.78,2388.4
325,252.3,0.0,98.8,146.3,14.2,987.8,889.0,14,42.29,2388.4
326,252.3,0.0,98.8,146.3,14.2,987.8,889.0,28,50.6,2388.4
327,252.3,0.0,98.8,146.3,14.2,987.8,889.0,56,55.83,2388.4
328,252.3,0.0,98.8,146.3,14.2,987.8,889.0,100,60.95,2388.4
